852; Mejal’in’epeedon’e; поле
853; Нижняя Дорога; угодье
854; Бабий Наволок; угодье
855; Бабьи Орги; угодье
856; Ушковский Обод; угодье
857; Бараньская Обухница; угодье
858; Кейнаволок; мыс
860; Горушка; угодье
861; Еремина щельга; гора
862; Плавницкая губа; залив
863; Plošad’n’em’; участок
864; Trošoinhaamez; участок
865; Круглица; луда
866; Papimpüudod; поле
867; Päčn’em’; покос
868; Slabad; деревня
869; Анишинская Кайба; пруд
870; Papoimägi; неизвестно
871; Ol’šampüd; поле
872; Šärkilampi; озеро
873; Дровники; неизвестно
875; Восточное поле; угодье
876; Бузунья; угодье
877; Pehkoja; ручей
878; Подборье; угодье
879; Kungirand; берег
880; Березовец; остров
881; Dar’g’anbong; омут
882; Нулица; угодье
883; Nin’mägi; неизвестно
884; Койнаволок; угодье
885; Заречье; угодье
887; Сукромы; угодье
888; Mamšinkočk; урочище
889; Угловая полоса; угодье
890; Pardušk; участок
891; Захаровщина; угодье
892; Pustanso; болото
893; Коножгуба; залив
894; Korgedmägi; гора
895; Ragačso; болото
896; Nikanorjär’v; озеро
898; Надручей; ручей
899; Iuki; деревня
900; Новичиха; неизвестно
901; T’eraun’em’; болото
902; Koukkuvana; угодье
903; Kodoisiid; участок
904; Кадьгуба; угодье
905; Петруховщина; угодье
906; Остров; угодье
908; G’egorinamm’ägi; гора
909; Глубокий Щучий Нос; луда
910; Pal’ar’v’; озеро
911; Кривая Пенга; угодье
912; Sojär’v; озеро
913; На Бору; угодье
914; Kil’kii; деревня
915; Линдома; деревня
916; Мельничный ручей; ручей
917; Saviso; болото
919; Ивановский Остров; урочище
920; Küllinpeldo; угодье
921; Лигай; мыс
922; Сухой Наволок; мыс
924; Новочисть; угодье
925; Западный наволок; мыс
927; Škul’m; поле
928; Ropal’; урочище
929; Krugl’eimägi; гора
930; Крестова Губа; угодье
931; Кузнечиха; угодье
932; Заднедеревское северное поле; угодье
933; Шильник; угодье
934; Rastarvenrand; покос
936; Матка; берег
937; Корытовское озеро; озеро
939; Межозерье; река
940; Oja; река
941; Ольховые лядины; угодье
942; Ворсино поле; угодье
943; Угол; угодье
945; Заборье; гора
946; Prangatišt; деревня
947; Варнаволок; мыс
949; Пичемское озеро; неизвестно
950; Половинная гора; гора
951; Северное поле; угодье
952; Sirj; гора
953; Geskanhutor; участок
954; Vougedoja; ручей
955; Šanhai; участок
956; Sidorovoidekaiv; колодец
957; Kivioja; ручей
958; Крестик; участок
959; Красная Земля; угодье
960; Ridasar’; урочище
961; Trošoinsiid; мост
962; Мочалище; угодье
963; Semoimpüud; поле
964; Верхнепесочная поляна; угодье
965; Eitg’är’f; озеро
966; Natg’är’f; озеро
967; Прокшинский холм; неизвестно
968; Льнище; угодье
969; Середка; угодье
970; Курняй; мыс
971; Межозерская речка; река
972; Васильевские пожни; угодье
973; Край; угодье
974; Мельничная река; река
975; Мошок; болото
976; Kuz’kunsar’; урочище
977; Савиновка; порог
978; Sokol; озеро
979; Плоская Сельга; угодье
980; Pondolang’ögi; река
981; Meržašt’e; покос
982; Hubakar; залив
983; Лигостров; угодье
984; Истомино; деревня
